Ime,Priljubljenost,Cena [£],Vrsta izdelka,Podjetje,Avtor,Jezik,Število vzorcev,Število strani,Raven znanja 
Star Amigurumi,1737,3.14,Toys,Independent Designer,RaffamusaDesigns,English,1,,Intermediate
Buford the Bloodhound,1738,3.13,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Baby Blanket Crochet Pattern 477,1739,5.29,Homeware,Independent Designer,ShiFio's Patterns,English,1,5,Intermediate
Beginners Baby Beanie,1740,1.00,Baby Hats,Independent Designer,Kuggles Knitting Patterns,English,1,1,Beginner
Cosy Baby Cardigan in Red Heart Detroit - LW4251EN,1741,0.00,Cardigans,Red Heart,,English,1,,Intermediate
Farmhouse Square Blanket,1742,3.73,Homeware,Independent Designer,Deborah O'Leary,English,1,7,Beginner
Bunny Baby Lovey,1743,2.99,Toys,Independent Designer,Burgundy & Blush,English,1,,Beginner
Tractor Booties,1744,3.41,Booties,Independent Designer,Caroline Brooke,English,1,11,Intermediate
From the Middle Baby Blanket in Bernat Baby Blanket,1745,0.00,Blankets,Bernat,,English,1,1,Intermediate
Holly the Unicorn,1746,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Totoro - My Dearest Neighbor,1747,3.72,Toys,Independent Designer,Petr Medek,English,1,60,Intermediate
Maria,1748,7.07,Homeware,Independent Designer,AnaMoraisSoares,Dutch|English|German|Spanish,1,138,Intermediate
Classic Granny Square Crochet Throw in Caron One Pound - Downloadable PDF,1749,0.00,Granny squares,Caron,,English|French,1,2,Beginner
Animal Baby Blanket - Froggin' About,1750,2.95,Homeware,Independent Designer,Helen Free,English,1,24,Intermediate
Net Cardigan in Adriafil Kid Mohair and Odeon - Downloadable PDF,1751,0.00,Cardigans,Adriafil,,English,1,1,
Pomeranian dog crochet,1752,4.43,Toys,Independent Designer,Ambercraftstore,Dutch|English|French,1,33,Intermediate
Erin Amigurumi Doll,1753,5.50,Toys,Independent Designer,Smiley Crochet Things,English,1,,Intermediate
Sleepy sloth curtain tie back,1754,3.73,Homeware,Independent Designer,Thoresby Cottage,English,1,4,Beginner
Solid Hexagons Blanket,1755,3.67,Homeware,Independent Designer,RaffamusaDesigns,English,1,,Intermediate
Sunshine Festival Crop Top,1756,3.73,Tops,Independent Designer,The Happy Unraveler,English,1,4,Intermediate
🎀 Scrump-Inspired Amigurumi Pattern – Digital PDF 🎀,1757,2.98,Toys,Independent Designer,Danielle Magalhães,English,1,17,Beginner
Diamond V Neck Top,1758,3.73,Tops,Independent Designer,Nicole Riley,English,1,,Intermediate
Lullaby Granny Square Baby Blanket in Caron One Pound - Downloadable PDF,1759,0.00,Granny squares,Caron,Marilyn Losee,English,1,3,Beginner
Moorland Poncho,1760,3.50,Ponchos,Independent Designer,Pearson Handmade,English,1,6,Intermediate
Cosy Jacket for Baby,1761,2.49,Cardigans,Independent Designer,UK Craft Store,English,1,4,Intermediate
Mini Skirt Summer Cover Up,1762,2.05,Mini Skirt Summer Cover Up,Independent Designer,Chezpascale,English,1,3,Beginner
Calico Cat Amigurumi,1763,0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
Spring Into Easter,1764,7.95,Homeware,Independent Designer,Rosina Plane,English,1,47,Intermediate
Baby Wolf Amigurumi,1765,0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
Baby Girl Slouchy Hat,1766,3.63,Baby Hats,Independent Designer,Vanessa cayton,English,1,,Beginner
Elephant Newborn Beanie,1767,1.64,Accessories,Independent Designer,Crafty Creations,English,1,3,Beginner
Meara Fisherman Sweater,1768,2.87,Jumpers,Independent Designer,Olivia Kent,English,1,,Intermediate
Hot Dog Dachshund Amigurumi,1769,2.61,Toys,Independent Designer,HookingCuteCreations,English,1,5,Beginner
Islamic crochet prayer hat,1770,3.28,Accessories,Independent Designer,Umm Umar,English,1,6,Beginner
Crochet Cocoon in Caron x Pantone - Downloadable PDF,1771,0.00,Cardigans,Caron,,English,1,3,Beginner
Stitch,1772,2.69,Toys,Independent Designer,My First Buddies,English,1,,Intermediate
Woof!,1773,3.95,Homeware,Independent Designer,Rosina Plane,English,1,14,Intermediate
Roma Lavinia Skirt,1774,0.00,Skirts,Independent Designer,Krpena Lutkica - Rag Doll,English,1,8,Intermediate
Papaya,1775,2.98,Toys,Independent Designer,Creative Needle,English,1,4,Beginner
A Simple Twist of Fate,1776,2.50,Hats,Independent Designer,High Fibre Shop,English,1,5,Intermediate
Granny Cardigan,1777,3.00,Cardigans,Independent Designer,BabyCrochetDesigns,English,1,34,Beginner
Sterling the Star,1778,0.00,Toys,Independent Designer,Llama Lou Crochet,English,1,,Beginner
Sinnestriel,1779,4.37,Accessories,Independent Designer,Reimy Johanna Designs,English,1,14,Intermediate
"Madux James, a Legacy Square",1780,0.00,"Madux James, a Legacy Square",Independent Designer,A Yarn of Serendipity,English,1,14,Intermediate
Peach Flower Hat,1781,2.98,Baby Hats,Independent Designer,ViTalina Craft,English,1,3,Advanced
Georgie Top,1782,3.73,Tops,Independent Designer,Billow Design,English|French,1,8,Intermediate
Bonnie Bluebells,1783,3.60,Homeware,Independent Designer,The Crafty Therapist,English,1,5,Intermediate
Crochet Summer Top and Skirt Set,1784,5.22,Tops,Independent Designer,KnitcroAddict,English,1,13,Intermediate
Cable Tryst Throw,1785,4.10,Homeware,Independent Designer,Lisa van Klaveren,English,1,,Beginner
Fairy Tale Cat Cave,1786,4.00,Fairy Tale Cat Cave,Independent Designer,Sarah Taylor,English,1,12,Intermediate
Twin Set Cloud Cardigan in Adriafil Navy - Downloadable PDF,1787,0.00,Cardigans,Adriafil,,English,1,1,
Baby Grey Hat and Cardigan,1788,1.09,Cardigans,Independent Designer,TatjanaBoutique,English,1,6,Intermediate
Crochet tote bag Amelie,1789,4.96,Accessories,Independent Designer,I Love Create,English,1,,Beginner
Franny Granny Child Cardigan,1790,8.25,Cardigans,Independent Designer,Hannah Cross,English,1,22,Intermediate
Pixie the Robot in Lion Brand Wool Ease - M22280WE - Downloadable PDF,1791,0.00,Toys,Lion Brand,Lion Brand,English,1,7,Beginner
Primrose Blouse,1792,4.48,Tops,Independent Designer,Michelle Ferguson,English,1,,Intermediate
Minecraft Wolf Dog Crochet Pattern,1793,3.80,Toys,Independent Designer,Kristine Kuluka,English,1,11,Intermediate
Summertime,1794,2.95,Homeware,Independent Designer,Rosina Plane,English,1,34,Intermediate
Bell Dress,1795,4.02,Dresses,Independent Designer,Mon Petit Violon,English,1,3,Intermediate
Popover Poncho,1796,4.10,Ponchos,Independent Designer,Lisa van Klaveren,English,1,,Beginner
Seaside wreath and bunting,1797,15.00,Homeware,Independent Designer,KATE EASTWOOD,English,1,,Intermediate
Sidmouth Scarf,1798,3.50,Accessories,Independent Designer,The Crochet Mill,English,1,,Intermediate
Blush Blossom Baby Blanket,1799,4.85,Homeware,Independent Designer,Apple Blossom Dreams,English,1,,Intermediate
Tree House,1800,3.73,Homeware,Independent Designer,Katya Novikova,Diagrams/chartsonly|suitableforalllanguages|English,1,,Intermediate
Seaside Ripple Crochet Afghan in Caron One Pound - Downloadable PDF,1801,0.00,Blankets,Caron,,English,1,1,Beginner
Crochet tank top,1802,5.24,Tops,Independent Designer,Crochetlin,English,1,19,Beginner
Coral Snake Toy in Caron Simply Soft and Simply Soft Brites - Downloadable PDF,1803,0.00,Toys,Caron,Deb Richey,English,1,3,Beginner
Heart amigurumi,1804,0.00,Amigurumi,Independent Designer,Mignon Crochet,English|French,1,12,Beginner
Tulipan net,1805,6.11,Accessories,Independent Designer,Sidsel Sangild,Danish|English,1,6,Intermediate
Essential Crochet Recycled Home Ebook - Free Crochet Patterns for Home by Paintbox Yarns,1806,0.00,Essential Crochet Recycled Home Ebook - Free Crochet Patterns for Home by Paintbox Yarns,Paintbox Yarns,Paintbox Yarns,English,,14,Beginner
Pinafore Sleeveless Dress,1807,3.00,Dresses,Independent Designer,ThomasinaC,English,1,,Intermediate
Monkey Baby Booties,1808,3.72,Booties,Independent Designer,Sara Ayers,English,1,4,Intermediate
I Heart My Dress and Beret in Patons Beehive Baby Sport - Downloadable PDF,1809,0.00,Dresses,Patons US,,English,2,5,Intermediate
Crochet Poppy flowers,1810,2.50,Homeware,Independent Designer,T Jaik,English,1,,Intermediate
Glacier Blue Beanie,1811,3.00,Baby Hats,Independent Designer,The Lonely Sea/Heather Corcoran,English,1,4,Beginner
Stevee Cardigan,1812,2.22,Cardigans,Independent Designer,Sincerely Pam,English,1,,Beginner
Dutch rabbit,1813,3.93,Toys,Independent Designer,Katalin Gálusz,English,1,21,Intermediate
Hug Me Pocket Scarf,1814,1.50,Accessories,Independent Designer,Luna Crochet Designs,English,1,8,Beginner
Easy Crochet Beach Dress,1815,2.80,Dresses,Independent Designer,Little Golden Nook,English,1,3,Beginner
Cara Dishcloth,1816,2.61,Homeware,Independent Designer,ChristaCoDesign,English,1,5,Beginner
Baby Elephants,1817,3.73,Homeware,Independent Designer,Gleeful Crocheting,English,1,,Intermediate
Handy Basket in Bernat Maker Home Dec - Downloadable PDF,1818,0.00,Decorations,Bernat,,English,1,1,Beginner
Loaf Cat  No Sew Bundle 5 in 1 crochet,1819,2.24,Loaf Cat  No Sew Bundle 5 in 1 crochet,Independent Designer,YarnWondersTB,English,1,,Beginner
Rainforest Scarf,1820,4.48,Accessories,Independent Designer,Liudmyla Hefny,English,1,16,Intermediate
1001 4Ply Briefs,1821,4.80,1001 4Ply Briefs,Independent Designer,SeyhallCrochetDesign,English,1,33,Intermediate
Granny Coat,1822,2.98,Cardigans,Independent Designer,Littlejohn's Yarn,English,1,3,Intermediate
Baby Jacket Baby Dress Knitting and Crochet Baby Outfit,1823,6.45,Dresses,Independent Designer,Elena Mitchell,English,1,122,Beginner
Giant Jellyfish,1824,3.73,Toys,Independent Designer,Diana Bengis,English,1,,Beginner
Lace pattern baby hat,1825,2.75,Hats,Independent Designer,Seasonknits,English,1,3,Intermediate
Melon Pops Cushion,1826,3.25,Cushions,Independent Designer,MandyO,English,1,18,Intermediate
Granny Flexi Hexi Longline Cardi,1827,7.00,Cardigans,Independent Designer,Melu Crochet,English,1,76,Intermediate
Eyeglass Holder Panda,1828,1.11,Homeware,Independent Designer,Electric Eye Crochet,English,1,,Beginner
Aureole Mandala,1829,0.00,Decorations,Independent Designer,A Yarn of Serendipity,English,,21,Intermediate
Long Loop Stripe Sweater,1830,4.80,Sweaters,Independent Designer,SeyhallCrochetDesign,English,1,15,Intermediate
Vanilla Cloud Poncho and Hat Set,1831,4.48,Baby Hats,Independent Designer,ViTalina Craft,English,1,13,Advanced
Ley Lines,1832,3.73,Homeware,Independent Designer,Draiguna,English,1,16,Intermediate
Kahlo Crop Top - Free Crochet Pattern For Women in Paintbox Yarns Cotton DK,1833,0.00,Tops,Paintbox Yarns,Katie Jones,English,1,6,Intermediate
Hoodie in Bernat Handicrafter Cotton Solids,1834,0.00,Sweaters,Bernat,,English,1,,
Toota's Tractor,1835,2.94,Toys,Independent Designer,Jan McKinnon,English,1,,Intermediate
Short Cardigan in King Cole Galaxy DK - 4427 - Downloadable PDF,1836,2.99,Cardigans,King Cole,,English,2,4,Intermediate
Dennis the Donkey - UK Terminology - Amigurumi,1837,2.50,Toys,Independent Designer,Little Green Bear,English,1,11,Intermediate
"Tabby Kitten Crochet Pattern, Striped Cat Amigurumi",1838,4.80,Toys,Independent Designer,Firefly Crochet,English,1,18,Intermediate
Gingham Crochet Blanket,1839,2.98,Homeware,Independent Designer,Ouma Ralie,English,1,,Intermediate
Rose Granny Square,1840,1.48,Homeware,Independent Designer,Roseanna Murray,English,1,3,Beginner
Octavia the Octopus in Lily Sugar 'n Cream Solids - Downloadable PDF,1841,0.00,Decorations,Lily Sugar 'n Cream,,English,2,2,Beginner
Crochet skirt,1842,2.24,Crochet skirt,Independent Designer,Stacia Whorms,English,1,7,Beginner
Sweet Baby Hoodie in Bernat Baby Coordinates Solids,1843,0.00,Dresses,Bernat,,English,2,,
Summer raffia clutch bag,1844,2.98,Accessories,Independent Designer,Anna Ushakova,English|German,1,31,Beginner
Mermaid Kawaii Cuddler™,1845,4.29,Toys,Independent Designer,3amgracedesigns,English,1,,Beginner
Enzo the Teddy Bear - Free Toy Crochet Pattern For Christmas in Paintbox Yarns Cotton Aran by Paintbox Yarns,1846,0.00,Toys,Paintbox Yarns,Ilaria Caliri,English,1,5,Beginner
Purple baby dress,1847,3.80,Dresses,Independent Designer,Paintcrochet,English,1,,Intermediate
Bear Toy in Hayfield Baby Chunky - 4836 - Downloadable PDF,1848,3.85,Toys,Hayfield,,English,1,4,Intermediate
Textured Stripe Baby Blanket,1849,3.50,Homeware,Independent Designer,Sophie Stitches,English,1,10,Beginner
Flower Power Beach Bag in Bernat Handicrafter Cotton Solids,1850,0.00,Accessories,Bernat,,English,1,,
Sleeved circle vest,1851,2.98,Waistcoats,Independent Designer,Maz Kwok,English,1,18,Intermediate
Lily round,1852,4.40,Homeware,Independent Designer,lenamasterica,English|Russian,1,17,Intermediate
Scrapbusting Granny Square Jumper,1853,5.50,Sweaters,Independent Designer,Craft and a Cuppa,English,1,10,Beginner
Ellie shrug,1854,3.93,Boleros,Independent Designer,Ana Pizzo,English,1,,Beginner
Peppa Pig Amigurumi,1855,0.00,Toys,Independent Designer,Sabrina Boscolo,English,1,4,Intermediate
Sleep Tight Teddy Bear Blanket / Lovey,1856,5.97,Homeware,Independent Designer,Sweet Potato 3,English,1,8,Intermediate
By The Beach Wrap - Free Shawl Crochet Pattern for Women in Paintbox Yarns Cotton Mix DK by Paintbox Yarns,1857,0.00,Shawls,Paintbox Yarns,Paintbox Yarns,English,1,4,Intermediate
LIGHT AQUA GREEN CROCHET SHELL STITCH TOP,1858,4.48,Tops,Independent Designer,crochetbykiridesigns,English,1,9,Intermediate
Fisherman's Aran Isles Scarf,1859,3.93,Accessories,Independent Designer,Many Creative Gifts,English,1,,
Dragon,1860,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Baby Sun Hat,1861,0.00,Accessories,Independent Designer,Sara Bygvraa,English,1,,Intermediate
Spirals Throw in Caron One Pound - Downloadable PDF,1862,0.00,Blankets,Caron,Marilyn Losee,English,1,2,Intermediate
Flower and Shells Headband,1863,0.00,Headbands,Independent Designer,Nuria Pastor,English,,,Intermediate
Spoke Flower Blanket,1864,0.00,Homeware,Independent Designer,The Crochet Fix,English,1,,Beginner
Toadstools & Mushrooms,1865,0.00,Toys,Independent Designer,Dennis Marquez,English,1,5,Intermediate
Granny Square Fabric Dress,1866,0.00,Dresses,Independent Designer,Mon Petit Violon,English,1,4,Intermediate
Smurf - Puffo,1867,0.00,Toys,Independent Designer,Valery Lab,English,1,3,Intermediate
Flower Patch Poncho - Free Crochet Pattern in Paintbox Yarns Wool Mix Chunky,1868,0.00,Ponchos,Paintbox Yarns,Katie Jones,English,1,6,Intermediate
Seafoam Shirt - Free Top Crochet Pattern For Women in Paintbox Yarns Cotton 4 ply by Paintbox Yarns,1869,0.00,Tops,Paintbox Yarns,Paintbox Yarns,English|German,1,4,Beginner
Skull Tote Bag,1870,0.00,Accessories,Independent Designer,hugs.in.a.stitch_ke,English,1,8,Intermediate
Beautiful Baby Blanket in Bernat Baby,1871,0.00,Blankets,Bernat,,English,1,,
By Your Side Basket Bag - Free Crochet Pattern for Women in Paintbox Yarns Recycled Crafty Pots by Paintbox Yarns,1872,0.00,By Your Side Basket Bag - Free Crochet Pattern for Women in Paintbox Yarns Recycled Crafty Pots by Paintbox Yarns,Paintbox Yarns,Paintbox Yarns,English,1,3,Intermediate
"""Sammy the Snail"" - Amigurumi Crochet Pattern For Toys in Paintbox Yarns Simply DK - DK-CRO-TOY-006",1873,0.00,Toys,Paintbox Yarns,Alison North,English,1,5,Intermediate
DAISY GRANNY Square,1874,0.00,Cushions,Independent Designer,Barbara Summers,English,1,6,Beginner
Coaster-heart,1875,0.00,Homeware,Independent Designer,Anna Kuznietsova,English,1,10,Beginner
4am Bralette - Free Crochet Pattern for Women in Paintbox Yarns Cotton DK - Downloadable PDF,1876,0.00,Other,Paintbox Yarns,,English,1,10,Intermediate
Vintage Vibes Beanie,1877,0.00,Accessories,Independent Designer,The Crochet Fix,English,1,,Intermediate
Rose Set in Adriafil Cheope - Downloadable PDF,1878,0.00,Tops,Adriafil,,English,2,1,
Halloween Wreath in Scheepjes Catona - Downloadable PDF,1879,0.00,Halloween Wreath in Scheepjes Catona - Downloadable PDF,Scheepjes,,English,1,12,Advanced Beginner
Bumble Blossom Black Eyed Susan Amigurumi Crochet Pattern,1880,0.00,Toys,Independent Designer,erinmaycrochet,English,1,12,Intermediate
Crochet Daisy,1881,0.00,Homeware,Independent Designer,Roseanna Murray,English,1,5,Intermediate
Seems Like Old Times,1882,0.00,Accessories,Independent Designer,MADuNaier,English,1,9,Advanced
Crochet Shawl in Caron Simply Soft Collection - Downloadable PDF,1883,0.00,Shawls,Caron,Diane Moyer,English,1,3,Intermediate
Adorable Asymmetric Top - Free Crochet Pattern For Women in Paintbox Yarns Simply Aran,1884,0.00,Tops,Paintbox Yarns,Paintbox Yarns,English,1,6,Intermediate
Casa Kahlo Blanket - Free Crochet Pattern For Home in Paintbox Yarns Simply Chunky,1885,0.00,Blankets,Paintbox Yarns,Katie Jones,English,1,9,Advanced
Lemon Granny Square,1886,0.00,Lemon Granny Square,Independent Designer,CroCreate,English,1,8,Intermediate
Kindle Cover,1887,0.00,Homeware,Independent Designer,Mon Petit Violon,English,1,3,Intermediate
Vintage Vibes Baby Beanie,1888,0.00,Accessories,Independent Designer,The Crochet Fix,English,1,,Beginner
3D Daisy keyring,1889,0.00,3D Daisy keyring,Independent Designer,Luna Crochet Designs,English,1,3,Beginner
Baby Bat,1890,0.00,Toys,Independent Designer,Roxy's Crochet,German,1,6,Intermediate
Snowberry Cushion Cover,1891,0.00,Cushions,Independent Designer,K.A.M.E. Crochet,English,1,22,Intermediate
Holly Decoration,1892,0.00,Homeware,Independent Designer,Kate Gerrits,English,1,5,Beginner
The Daisy Chain Headband,1893,0.00,Accessories,Independent Designer,Willow Knot Patterns,English,1,8,Intermediate
Zig Zag Baby Blankets in Caron Simply Soft Collection - Downloadable PDF,1894,0.00,Blankets,Caron,Kim Biddix,English,2,3,Beginner
"Sun-shroom from ""Plants vs. Zombies"" by AradiyaToys",1895,0.00,Toys,Independent Designer,AradiyaToys,English,1,13,Intermediate
Tunisian Smock Stitch Headband,1896,0.00,Headbands,Independent Designer,Kristen Stein Designs,English,1,,Beginner
Flower Friendly Sweater & Headband in Cascade Yarns Cherub Aran & Cherub Aran Multis- A290 - Downloadable PDF,1897,0.00,Cardigans,Cascade Yarns,Kristen Stoltzfus Clay,English,2,5,Intermediate
The Barryville Top,1898,0.00,Tops,Independent Designer,Aimee Wagner,English,1,,Intermediate
Beginner Fingerless Gloves,1899,0.00,Accessories,Independent Designer,Sam Bartley,English,1,,
Lovers Wrap Table Runner,1900,0.00,Homeware,Independent Designer,Erin's Toy Store,English,1,5,Advanced
Handicrafter Cotton - Bibs & Booties (Crochet) in Bernat Handicrafter Cotton Solids,1901,0.00,Accessories,Bernat,,English,1,,
Neon the Horse,1902,0.00,Toys,Independent Designer,Cara Engwerda,English,1,6,Intermediate
Simply Shawl in Caron Simply Soft - Downloadable PDF,1903,0.00,Shawls,Caron,,English,1,2,Beginner
Mini Pig Amigurumi,1904,0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
One Skein Wrap in Caron One Pound - Downloadable PDF,1905,0.00,Shawls,Caron,Marilyn Losee,English,1,2,Beginner
Red Shirt in Schachenmayr Micro Joy Color - Downloadable PDF,1906,0.00,Tops,Schachenmayr,,Dutch|English|French|German,1,1,
Bullet Bill Amigurumi,1907,0.00,Toys,Independent Designer,Flying Dutchman Crochet Design,English,1,,Intermediate
Mini Hippopotame Amigurumi,1908,0.00,Amigurumi,Independent Designer,NOLLIA,French,1,3,Beginner
Baby Hoodie & Hat in Caron Simply Soft Brites - Downloadable PDF,1909,0.00,Hats,Caron,,English,2,4,Beginner
"Crochet Pattern Monster,Crochet Mini Bag,Monster Crochet Pattern,Free Crochet Patterns",1910,0.00,Accessories,Independent Designer,Kathy Leung,English,1,5,Beginner
Melon Ripple Afghan in Caron Simply Soft and Simply Soft Collection - Downloadable PDF,1911,0.00,Blankets,Caron,Darla Fanton,English,1,2,Beginner
Cluster Stitch Cardigan in Bernat Satin,1912,0.00,Cardigans,Bernat,,English,1,,
Bee amigurumi,1913,0.00,Toys,Independent Designer,Crochebay,English,1,3,Beginner
Springtime Squares Crochet Baby Blanket in Caron One Pound - Downloadable PDF,1914,0.00,Blankets,Caron,,English,1,2,Beginner
Soft Shells Baby Blanket in Caron Simply Soft Light - Downloadable PDF,1915,0.00,Blankets,Caron,Brenda Bourg,English,1,2,Intermediate
Sakura Face Scrubbies,1916,0.00,Homeware,Independent Designer,K.A.M.E. Crochet,English,1,3,Beginner
Giselle Mini-Dress in Adriafil Fiore - Downloadable PDF,1917,0.00,Dresses,Adriafil,,English,1,2,
Flowers,1918,0.00,Flowers,Independent Designer,Annemarie Benthem,English,1,16,Intermediate
About Town Crossbody Bag - Free Crochet Pattern for Women in Paintbox Yarns Recycled Crafty Pots by Paintbox Yarns,1919,0.00,About Town Crossbody Bag - Free Crochet Pattern for Women in Paintbox Yarns Recycled Crafty Pots by Paintbox Yarns,Paintbox Yarns,Paintbox Yarns,English,1,4,Intermediate
"Monster Hanging Toy,Free Crochet Patterns,Crochet Easy Patterns,Crocheting Projects for Beginners",1920,0.00,Homeware,Independent Designer,Kathy Leung,English,1,5,Beginner
Crochet Hydrangea,1921,0.00,Homeware,Independent Designer,Roseanna Murray,English,1,,Beginner
"Little carrot, amigurumi food pattern",1922,0.00,Toys,Independent Designer,AmigurumiJoys,English,1,,Beginner
Amigurumi Cactus,1923,0.00,Toys,Independent Designer,Codi Hudnall,English,1,,Beginner
Crochet Pattern for Kirbi!,1924,0.00,Toys,Independent Designer,amigoll9,English,1,6,Beginner
Corner to corner vest,1925,0.00,Vests Knitting Patterns,Independent Designer,Michelle Greenberg,English,1,15,Intermediate
Yes Yes Shawl in Bernat Vickie Howell Cotton-ish - Downloadable PDF,1926,0.00,Shawls,Bernat,Vickie Howell,English,1,2,Intermediate
Crochet Tasseled Throw in Caron One Pound - Downloadable PDF,1927,0.00,Blankets,Caron,,English,1,1,Beginner
Scrunchie Hair Tie,1928,0.00,Accessories,Independent Designer,KittyingYing,Diagrams/chartsonly|suitableforalllanguages|English,1,3,Beginner
Signs of Summer Shawl,1929,0.00,Accessories,Independent Designer,Cindy Culbertson,English,1,5,Beginner
Snail Blanket in Bernat Baby,1930,0.00,Blankets,Bernat,,English,1,,
Wavy Ripple Blanket in Bernat Baby Coordinates Solids,1931,0.00,Blankets,Bernat,,English,1,,
Top in Schachenmayr Micro Summer Color - Downloadable PDF,1932,0.00,Tops,Schachenmayr,,Dutch|English|French|German,1,2,
Baby Rattle crochet toy amigurumi pattern,1933,0.00,Amigurumi,Independent Designer,Lenn's Craft,English,1,,Beginner
Full Circle Pillow in Caron Simply Soft - Downloadable PDF,1934,0.00,Cushions,Caron,,English,1,1,Beginner
Ridges Family Crochet Hat in Caron One Pound - Downloadable PDF,1935,0.00,Hats,Caron,,English,1,1,Beginner
Sweetheart or Teddy Set in Bernat Handicrafter Cotton Solids,1936,0.00,Accessories,Bernat,,English,2,,
Rua Top in Rowan Handknit Cotton - Downloadable PDF,1937,0.00,Tops,Rowan,Sarah Hatton,English,1,3,Intermediate
Random Granny Crochet Afghan in Bernat Blanket Breezy - Downloadable PDF,1938,0.00,Blankets,Bernat,,English,1,1,Beginner
Green Ghost,1939,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Green Hat for Baby,1940,0.00,Baby Hats,Independent Designer,Esther Kate,English,1,4,Beginner
Little Hats Big Hearts Free,1941,0.00,Baby Hats,Independent Designer,Monique Rae Designs,English,1,,Beginner
Pennington Hat in Lion Brand Mandala Thick & Quick - L80171 - Downloadable PDF,1942,0.00,Hats,Lion Brand,Teresa Chorzepa,English,1,2,Beginner
Cotton Bath / Shower Puff,1943,0.00,Homeware,Independent Designer,Eva's Studio,English,1,,Beginner
Amber Snail the Ami - Amigurumi Crochet Pattern,1944,0.00,Toys,Independent Designer,Mary's Amiland,English,1,,Beginner
Bunny rattle with teether ring,1945,2.61,Toys,Independent Designer,Anna Ushakova,English,1,13,Intermediate
Sherbert Stripes Sampler Baby Blanket,1946,0.00,Homeware,Independent Designer,Miss Polly Crochet by PaulaR,English,1,4,Beginner
Yarndale Flower Brooch,1947,0.00,Yarndale Flower Brooch,Independent Designer,Lynne Rowe,English,,2,Beginner
Beautiful Kitten,1948,0.00,Beautiful Kitten,Independent Designer,Ternura Amigurumi,English,1,7,Intermediate
Amigurumi Donut Donat Keychain,1949,0.00,Toys,Independent Designer,Tya Maria,English|Indonesian,1,4,Beginner
Adult’s Crochet Crew Neck Pullover in Caron Simply Soft Heathers - Downloadable PDF,1950,0.00,Jumpers,Caron,,English,1,4,Beginner
Squid Game Pink Soldiers Amigurumi,1951,0.00,Toys,Independent Designer,Codi Hudnall,English,1,,Intermediate
Hex Yeah! Jacket - Free Crochet Pattern for Women in Paintbox Yarns Cotton DK,1952,0.00,Cardigans,Paintbox Yarns,Paintbox Yarns,English,1,5,Intermediate
Summer Sunset,1953,0.00,Homeware,Independent Designer,Crochet a Life,English,1,41,Intermediate
Flowers Dishcloth in Lily Sugar 'n Cream Solids,1954,0.00,Accessories,Lily Sugar 'n Cream,,English,1,,
Buttermilk Pancakes,1955,0.00,Homeware,Independent Designer,Chloe Bailey,English,1,4,Beginner
Maestrale,1956,0.00,Accessories,Independent Designer,Nimhriel,English,1,,Intermediate
Ootori-Sama (Ghibli),1957,0.00,Toys,Independent Designer,KnitKnot2Know,English,1,9,Beginner
Claude the Cloud,1958,0.00,Claude the Cloud,Independent Designer,Roxy's Crochet,English|German,1,12,Beginner
Mountaintop Cardigan in Lion Brand Hue & Me - M20286-TWH - Downloadable PDF,1959,0.00,Cardigans,Lion Brand,Two of Wands,English,1,8,Beginner
Rivenhall Square,1960,0.00,Homeware,Independent Designer,Jacqui Goulbourn,English,1,,Intermediate
Pullover  in Lana Grossa Gomitolo Summer Tweed - 11 - Downloadable PDF,1961,0.00,Jumpers,Lana Grossa,,English,1,3,Intermediate
Crochet Granny Square Blanket in Hayfield Bonus DK - CBBDK10274 - Downloadable PDF,1962,0.00,Granny squares,Hayfield,,English,1,2,Beginner
Crochet Pattern For The Keychain Bag,1963,0.00,Homeware,Independent Designer,amigoll9,English,1,3,Beginner
Lace Knit Shawl in Bernat Handicrafter Crochet Thread,1964,0.00,Shawls,Bernat,,English,1,,
V Stitch Crochet Blanket,1965,0.00,Homeware,Independent Designer,Joanne Johncey,English,1,2,Beginner
Crochet Braided Infinity Scarf,1966,0.00,Accessories,Independent Designer,Michelle Greenberg,English,1,3,Beginner
"""Terramar Top"" - Free Top Crochet Pattern For Women in Paintbox Yarns Cotton DK and Metallics DK",1967,0.00,Tops,Paintbox Yarns,,English,1,4,Intermediate
"""Caitlin the Caterpillar"" - Amigurumi Crochet Pattern For Toys in Paintbox Yarns Simply DK - DK-CRO-TOY-003",1968,0.00,Toys,Paintbox Yarns,Alison North,English,1,5,Intermediate
Sage Bloom Cowl in Cascade 220 Superwash - W603 - Downloadable PDF,1969,0.00,Cowls,Cascade Yarns,Kristen Stoltzfus,English,1,3,Beginner
Penguin Amigurumi,1970,0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
Daisy the Hedgehog,1971,0.00,Toys,Independent Designer,Sweet N Cute Creations,English,1,,Beginner
Sparky dog,1972,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
