Ime,Priljubljenost,Cena [£],Vrsta,Podjetje,Avtor,Jezik,Število vzorcev,Število strani,Raven znanja 
Pjeter and Petra Puffin,1395,3.50,Toys,Independent Designer,Moji-Moji Design,English,1,11,Intermediate
Crochet Pattern Mini Hug-Goose Amigurumi,1396,1.84,Toys,Independent Designer,EdemiFamily,English,1,14,Beginner
Quick Pumpkin,1397,0.00,Homeware,Independent Designer,Jade Gauthier-Boutin,English|French,1,10,Beginner
Cupcake Sweater,1398,4.14,Sweaters,Independent Designer,Mon Petit Violon,English,1,7,Intermediate
12 Days of Christmas,1399,18.50,Homeware,Independent Designer,Crochet to Play,English,1,,Intermediate
Pumpkin Coaster,1400,0.00,Homeware,Independent Designer,Jade Gauthier-Boutin,English|French,1,12,Beginner
Biscuit the Beagle,1401,2.59,Toys,Independent Designer,Theresa,English,1,7,Intermediate
Simple crochet bralette || Marigold Bralette top,1402,1.85,Tops,Independent Designer,Bobo Stitches,English,1,,Intermediate
Skull Applique Pattern,1403,0.00,Skull Applique Pattern,Independent Designer,Storm & Zoe,English,1,6,Beginner
Positano Tee,1404,2.85,Tops,Independent Designer,Olivia Kent,English,1,,Intermediate
Halloween Granny Squares,1405,13.80,Halloween Granny Squares,Independent Designer,RaffamusaDesigns,English,1,,Beginner
Floral Coaster,1406,0.00,Homeware,Independent Designer,Jolie Stitch Designs,English,1,,Beginner
Bohemian Weave Hairpin Top,1407,4.26,Tops,Independent Designer,Kristen Stein Designs,English,1,,Intermediate
Ophelia Cardigan,1408,4.31,Cardigans,Independent Designer,Ana Pizzo,English,1,9,Intermediate
Meredith Lined/Reversible Coat Set,1409,4.00,Blankets,Independent Designer,Ready For Cwtches Designs,English,1,7,Intermediate
The Winter Warmer - Free Jacket Crochet Pattern for Women in Paintbox Yarns Wool Blend Worsted - Downloadable PDF,1410,0.00,Coats,Paintbox Yarns,,English,1,5,Intermediate
Mini Animal Zip Bag,1411,1.47,Accessories,Independent Designer,Catherine Wang,English,1,5,Beginner
"Lucas Baby Cardigan, Hat & Booties",1412,4.90,Booties,Independent Designer,Precious Newborn Knits,English,1,5,Intermediate
Granny Stitch Top,1413,2.95,Jumpers,Independent Designer,Littlejohn's Yarn,English,1,2,Intermediate
Heart Plush,1414,0.00,Toys,Independent Designer,Adri Brits,English,1,,Beginner
Goldendoodle Dog Crochet Pattern,1415,5.11,Toys,Independent Designer,Ambercraftstore,English,1,15,Intermediate
Large(r) Whale Shark,1416,0.00,Toys,Independent Designer,@kirby_crochets,English,1,4,Intermediate
The Haven Blanket,1417,3.70,Homeware,Independent Designer,Nicky Jewels and Jones,English,1,,Beginner
Simple Crochet Vest,1418,4.00,Waistcoats,Independent Designer,Esther Kate,English,1,5,Intermediate
Hooded Double Breasted Jacket and Helmet - P105,1419,5.50,Coats,Independent Designer,OGE Knitwear Designs,English,1,4,Intermediate
Lilyrose Baby Jacket UK & USA Terms #372,1420,4.00,Jackets,Independent Designer,ShiFio's Patterns,English,1,8,Intermediate
Gardi Cardi,1421,2.00,Cardigans,Independent Designer,Sam Hermes,English,1,10,Intermediate
Super Chunky Hat and Snood Set,1422,2.00,Accessories,Independent Designer,Stylish Stitches Crochet,English,1,9,Beginner
Tessellation Blanket in Stylecraft Special DK - 9683 - Downloadable PDF,1423,3.00,Tessellation Blanket in Stylecraft Special DK - 9683 - Downloadable PDF,Stylecraft,,English,1,6,Advanced Beginner
Ragnailt,1424,2.59,Tops,Independent Designer,Caroline Murphy,English,1,4,Intermediate
One Ball Crocheted Scarf in Lion Brand Scarfie - L50090P - Downloadable PDF,1425,0.00,Scarves & Shawls,Lion Brand,,English,1,2,Beginner
Diamond Breeze Cropped Top,1426,6.11,Tops,Independent Designer,Karmen Režek,English,1,12,Intermediate
Coins Purse or Sewing Necessaire Crochet Pattern,1427,2.56,Accessories,Independent Designer,Cherry Berry Crochet,English|German,1,,Beginner
Little Pumpkin Pompom Hat Baby Children Women Halloween Fall Thanksgiving,1428,3.33,Hats,Independent Designer,Tara Marie,English,1,,Beginner
Darling Buds of May Blanket,1429,3.75,Homeware,Independent Designer,Hattie Risdale,English,1,11,Beginner
Paros Mobile Pouch,1430,0.00,Accessories,Independent Designer,Nono Green Design,English,1,6,Intermediate
Elvish Teeny Tiny Hat,1431,0.00,Hats,Independent Designer,Alexandra Davidoff,English,1,2,Intermediate
Seabreeze Shawl,1432,2.96,Accessories,Independent Designer,Raine Eimre,English,1,5,Beginner
The Alchemy Cardigan CAL,1433,5.55,Cardigans,Independent Designer,Jess Coppom Make & Do Crew,English,1,34,Intermediate
Beach Bag,1434,0.00,Accessories,Independent Designer,Annemarie Benthem,English,1,4,Beginner
Flamingo,1435,6.90,Toys,Independent Designer,Ekaterina Borisova,Dutch|English|German,1,63,Intermediate
"Pinafore, Dress and Cardigans in Sirdar Snuggly DK - 5205 - Downloadable PDF",1436,3.85,Cardigans,Sirdar Snuggly,Sirdar,English,4,4,Intermediate
Elephant Applique,1437,1.90,Elephant Applique,Independent Designer,BabyCrochetDesigns,English,1,8,Beginner
C2C Tshirt,1438,5.00,Tops,Independent Designer,Yarn Family,English,1,10,Intermediate
"""Midsummer Night Tunic"" - Free Dress Crochet Pattern For Women in Paintbox Yarns Cotton DK - COT-CRO-WOM-004",1439,0.00,Dresses,Paintbox Yarns,,,,,Intermediate
African Flower Waistcoat,1440,4.50,Waistcoats,Independent Designer,The Missing Yarn - Cassie Ward,English,1,12,Intermediate
Leora Summer Top,1441,5.00,Tops,Independent Designer,Hooked On Patterns,English,1,12,Intermediate
The EZ Breezy white sweater,1442,3.67,Sweaters,Independent Designer,Crojennifer,English,1,7,Beginner
Rebel Crochet Vest and Sweater,1443,5.09,Jumpers,Independent Designer,Lisas Crochet Designz,English,1,21,Intermediate
"Marley Mae Square, a Legacy Square",1444,0.00,"Marley Mae Square, a Legacy Square",Independent Designer,A Yarn of Serendipity,English,1,20,Intermediate
Macaw parrots,1445,3.28,Toys,Independent Designer,MariyaStany,English|French|German,1,85,Intermediate
Mellow waves,1446,5.00,Boleros,Independent Designer,Dora Does,English,1,21,Intermediate
Dark Sky Shawl in Cascade Yarns Whirligig - DK603 - Downloadable PDF,1447,0.00,Shawls,Cascade Yarns,Cascade Yarns Design Team,English,1,4,Intermediate
Child's Cabled Neck Warmer,1448,4.07,Accessories,Independent Designer,Lisa van Klaveren,English,1,,Intermediate
Crochet Device and  book sleeve,1449,4.07,Crochet Device and  book sleeve,Independent Designer,Stephanie Anderson,English,1,5,Beginner
Hippo snuggler crochet pattern,1450,4.14,Toys,Independent Designer,Diminu,English,1,15,Intermediate
Simple Toddler Sweater,1451,3.66,Sweaters,Independent Designer,SICK 'LIL MONKEYS,English,,,
Amarië Earwarmer,1452,0.00,Headbands,Independent Designer,K.A.M.E. Crochet,English|Hungarian,1,9,Intermediate
Diamonds of the Night Shawl,1453,4.28,Accessories,Independent Designer,Created by Carolien,English,1,,Intermediate
3-6 months - NEO Crochet Baby  Leggings,1454,3.44,3-6 months - NEO Crochet Baby  Leggings,Independent Designer,Creativa Atelier,English,1,5,Intermediate
Mary Kate Vest in Caron Simply Soft Party - Downloadable PDF,1455,0.00,Waistcoats,Caron,Kimberly K. McAlindin,English,1,3,Beginner
Crochet Flowers T-shirt,1456,3.88,Tops,Independent Designer,PDFCrochetPattern4u,English|Spanish,1,,Intermediate
Ceallaigh,1457,2.59,Tops,Independent Designer,Caroline Murphy,English,1,,Intermediate
Hedgehogs,1458,3.25,Toys,Independent Designer,The Puffling,English,1,8,Intermediate
Laura's Cowl,1459,4.07,Accessories,Independent Designer,Sweet Hues/Blu Daisy Creations,English,1,,Beginner
Do Gooder,1460,0.00,Hats,Independent Designer,Sharon Mooney,English,1,3,Beginner
Rainbow Starlight Blanket,1461,3.50,Homeware,Independent Designer,K.A.M.E. Crochet,English,1,17,Intermediate
Rosetto Twin Set in Adriafil Uno A Ritorto 5 - Downloadable PDF,1462,0.00,Dresses,Adriafil,,English,6,5,
Peplum Tank Top,1463,2.95,Tops,Independent Designer,Maz Kwok,English,1,,Intermediate
Positivity Spiral Cowl,1464,5.00,Accessories,Independent Designer,Fay Dashper-Hughes,English,1,,Beginner
Puppy Dog Filet Blanket,1465,3.70,Homeware,Independent Designer,Jessica S.,English,1,,Beginner
Baby Puffin in Lion Brand Wool-Ease Thick & Quick - Downloadable PDF,1466,0.00,Baby Puffin in Lion Brand Wool-Ease Thick & Quick - Downloadable PDF,Lion Brand,,English,1,6,Beginner
The Sadie Top,1467,2.67,Tops,Independent Designer,Life and Yarn,English,1,,Beginner
Basic crochet basket,1468,0.00,Homeware,Independent Designer,Sam Pratt,English,1,1,Beginner
Harvest Moon Floral Block Extension,1469,1.85,Homeware,Independent Designer,The Floral Hook,English,1,92,Intermediate
Crochet Poppy,1470,0.00,Crochet Poppy,Independent Designer,BabyCrochetDesigns,English,1,4,Beginner
Be Like a Sunflower,1471,2.96,Accessories,Independent Designer,CJ Brady Designs,English,1,,Beginner
Owl Hedwig keychain / Harry Potter character,1472,2.95,Toys,Independent Designer,Svitlana Yakobets,English,1,3,Intermediate
Sweet Dreams Sleep Mask - Free Accessory Crochet Pattern in Paintbox Yarns Baby DK,1473,0.00,Accessories,Paintbox Yarns,Paintbox Yarns,English,1,5,Beginner
Unicorn Keychain,1474,2.96,Toys,Independent Designer,Little Bamboo Handmade,English,1,8,Beginner
Alana Vintage Style Pretty Alice Wide Corsage Lace Edging Headband Knitting and Crochet Pattern by Adel Kay,1475,2.50,Accessories,Independent Designer,Adel Kay Knit Designer,English,1,3,Intermediate
MALE FLIGHT ATTENDANT,1476,4.43,Toys,Independent Designer,KiwiCuddlies,English,1,,Beginner
Evidence of Hope Bookmark,1477,2.96,Homeware,Independent Designer,Kirsten Holloway,English,1,11,Intermediate
Crochet Rose Lily flowers,1478,2.50,Homeware,Independent Designer,T Jaik,English,1,,Intermediate
Night and Light dragon fury,1479,3.33,Toys,Independent Designer,Weaving Magic,English,1,,Intermediate
Mini Penguin Amigurumi Keychain,1480,0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
Painted Anemone Doily and Potholder,1481,3.50,Homeware,Independent Designer,Sandra Paul,English,1,12,Intermediate
Nemea Shawl,1482,3.89,Accessories,Independent Designer,flyingflowerflourishes,English,1,,Beginner
Amigurumi Penis deer,1483,3.33,Toys,Independent Designer,Vitastoys,English,1,25,Intermediate
Reina Cardigan,1484,4.44,Cardigans,Independent Designer,Jennifer Renaud,English,1,,Beginner
"Alex from ""Minecraft"" by AradiyaToys",1485,2.95,Toys,Independent Designer,AradiyaToys,English,1,24,Intermediate
Santa Coaster Free Crochet Patterns for Christmas - Christmas Decoration - Christmas Ornament,1486,0.00,Homeware,Independent Designer,Kathy Leung,English,1,4,Beginner
Sunflower Granny Square,1487,2.22,Cushions,Independent Designer,Crossmanknits,English,1,3,Intermediate
Lazy Daisy Cardigan,1488,5.00,Cardigans,Independent Designer,Sam Sabido Crochets,English,1,6,Intermediate
CROCHET Baby Blanket / Afghan - Pastel Aquamarine,1489,2.95,Homeware,Independent Designer,Pattern World,English,1,2,Intermediate
Humphrey the Tortoise,1490,3.63,Toys,Independent Designer,C.B.Makes,English,1,10,Beginner
Car Hanging Pothos Plant,1491,1.95,Homeware,Independent Designer,Alina Handmade,English,1,6,Beginner
3 Hour Afghan Crochet Pattern,1492,1.85,Homeware,Independent Designer,Crochet Dreamz,English,1,,Beginner
Longstocking Fan Hat,1493,2.95,Accessories,Independent Designer,Bonnie Bay Crochet,English,1,5,Beginner
Rose Garden Granny Square Scarf,1494,2.96,Accessories,Independent Designer,Diana Holdridge,English,1,3,Beginner
The Lorax,1495,0.74,Toys,Independent Designer,Erin's Toy Store,English,1,,Beginner
Ivy plant,1496,2.50,Homeware,Independent Designer,T Jaik,English,1,,Beginner
Bailey Cardigan & Hat,1497,5.00,Hats,Independent Designer,Little Fig,English,1,8,Beginner
Amphitrite Sweater,1498,5.13,Jumpers,Independent Designer,Nono Green Design,English,1,6,Intermediate
4 Layer Big Crochet flower with open centre,1499,1.99,4 Layer Big Crochet flower with open centre,Independent Designer,Luba Davies,English,1,,Intermediate
Sunny Sunflower,1500,0.00,Homeware,Independent Designer,Chroma Crochet,English,1,2,Intermediate
Chestnut Sweater,1501,5.18,Sweaters,Independent Designer,The Crochet Village,English,1,12,Intermediate
Lulworth Crochet Dishcloth,1502,0.00,Homeware,Independent Designer,Nina Attridge,English,1,5,Beginner
Alpine Shawl in Cascade Ultra Pima - DK234,1503,0.00,Shawls,Cascade Yarns,Cristina Mershon,English,1,6,Intermediate
Hello Sunshine Cushion and Blanket,1504,4.00,Cushions,Independent Designer,Hattie Risdale,English,1,21,Intermediate
Premature Small Baby Knitting Pattern For 5 Hats,1505,3.75,Hats,Independent Designer,Scotlands Crafty Sisters,English,1,2,Intermediate
Fierce Little Dragon,1506,0.00,Toys,Independent Designer,Lucy Collin,Dutch|English|French|German,1,7,Intermediate
Willow Cardigan,1507,2.74,Cardigans,Independent Designer,For The Frills | Grace,English,1,,Beginner
Amigurumi Cute Turtle,1508,1.29,Toys,Independent Designer,D&I CREATIONS,English,1,,Beginner
Radiating Squares Tunisian Crochet Blanket,1509,5.00,Homeware,Independent Designer,A Spring Snowflake,English,1,3,Beginner
"3 in 1 The Weekend, Mini & Diamante Granny Bags",1510,3.60,Accessories,Independent Designer,Sew Hooky,English,1,29,Intermediate
Truffle Ruffle Dress,1511,3.71,Dresses,Independent Designer,Mon Petit Violon,English,1,4,Intermediate
Terrazzo Tank Top,1512,3.33,Tops,Independent Designer,For The Frills | Grace,English,1,,Intermediate
Siwatl Top,1513,6.00,Tops,Independent Designer,Nomad Stitches,English,1,8,Intermediate
Love is in the Square Blanket,1514,4.99,Homeware,Independent Designer,Dee,English,1,4,Intermediate
Crochet bag pattern: The Serene bag pattern,1515,3.55,Accessories,Independent Designer,Mirrymas,English,1,8,Intermediate
Crochet halter top with grannies _ C09,1516,4.31,Tops,Independent Designer,Akari Crochet Patterns,English,1,12,Intermediate
Spica Embossed Crochet Bag,1517,4.07,Accessories,Independent Designer,Natalia Kononova,English,1,16,Intermediate
Patch Knot Bag,1518,1.48,Accessories,Independent Designer,Auburn Threads,English,1,4,Intermediate
Pink Ribbon Shawl in Caron Simply Soft - Downloadable PDF,1519,0.00,Shawls,Caron,KJ Hay,English,1,2,Beginner
Dusk Hooded Cowl,1520,0.00,Accessories,Independent Designer,Knit and Crochet Ever After,English,1,,Beginner
"12"" Slender Doll Base, Girl Body Figure",1521,4.44,Toys,Independent Designer,Sweet Softies,English,1,,Intermediate
The bagrielle snuggy,1522,0.00,Sweaters,Independent Designer,Les.Terribles,English,1,7,Beginner
Crochet bunny pattern baby rattle toy Amigurumi rabbit teether,1523,2.76,Toys,Independent Designer,Viktoria Petakh,English,1,8,Beginner
Fractal,1524,2.34,Homeware,Independent Designer,Foxberryjam,English|Finnish,1,6,Beginner
Dylan the Dolphin - US Terminology - Amigurumi,1525,2.50,Amigurumi,Independent Designer,Little Green Bear,English,1,8,Intermediate
Basic Babies Raglan Cardigan and Hat,1526,3.00,Hats,Independent Designer,Ruth Maddock,English,1,7,Intermediate
Knitting & Crochet Pattern for a Cornish Pasty and Chips / Fries - Knitted Toy Food,1527,2.25,Toys,Independent Designer,Bottletopboy,English,1,,Beginner
Sunflower Earring,1528,0.00,Accessories,Independent Designer,Elemental Knots,English,1,7,Intermediate
Textured cushion cover & tissue box,1529,1.20,Cushions,Independent Designer,Taylor-Made Crafts NI,English,1,14,Beginner
Easy Winter Beanie,1530,0.00,Accessories,Independent Designer,Sarah Thompson,English,1,3,Beginner
Alien Xenomorph - Crochet Amigurumi Pattern - Downloadable PDF,1531,3.88,Toys,Independent Designer,WoollyCubs,English,1,,Beginner
40 Fruits and Vegetables Crochet Patterns,1532,8.00,Toys,Independent Designer,Teenie Crochets,English,1,,Intermediate
Olivia the Owl,1533,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Beginner
Midnight Blossoms Throw,1534,6.29,Homeware,Independent Designer,Apple Blossom Dreams,English,1,,Intermediate
Danny the Friendly Dinosaur,1535,4.07,Toys,Independent Designer,Michelle Alvarez,English,1,13,Intermediate
Cuddly Doggy Comforter,1536,4.56,Toys,Independent Designer,Olive's Toy Box,English,1,14,Beginner
"Knitting & Crochet Pattern for Ham, Fried Egg and Chips / Fries - Crocheted Play Food",1537,2.50,Toys,Independent Designer,Bottletopboy,English,1,,Beginner
Ataraxia,1538,5.92,Tops,Independent Designer,Alice.in.Crochetland,English,1,,Beginner
Snowman Friends,1539,0.00,Toys,Independent Designer,Rupinder  Kaur,English,1,,Beginner
Teacup Piglet,1540,3.00,Toys,Independent Designer,Lex in Stitches,English,1,8,Beginner
Whispering Rose Summer Top,1541,3.90,Tops,Independent Designer,Jera's Jamboree,English,1,15,Beginner
Headphone case,1542,0.00,Homeware,Independent Designer,Ewelina Cherry Tree Workshop,English|Polish,1,20,Beginner
Barbie crochet princess dresses,1543,1.50,Toys,Independent Designer,linmaryknits,English,1,6,Beginner
Super star dress,1544,3.50,Dresses,Independent Designer,Olga Maslennikova,English,1,5,Advanced
Heart sweater,1545,5.11,Sweaters,Independent Designer,Accessorise,English,,8,Advanced
Cardigan and Waistcoat in Sirdar Cotton DK - 7072 - Downloadable PDF,1546,3.85,Waistcoats,Sirdar,,English,2,4,
Autumn Waves Blanket,1547,4.31,Homeware,Independent Designer,Marina Nikolaidou,English,1,5,Beginner
Cinnamon Swirl Sweater - Free Jumper Crochet Pattern for Women in Paintbox Yarns Wool Blend Worsted - Downloadable PDF,1548,0.00,Jumpers,Paintbox Yarns,,English,1,4,Advanced
Roll Brim Baby Bear Beanie,1549,2.99,Hats,Independent Designer,Crafty Stuff Baby Knits,English,1,3,Intermediate
Daisy and Duke the Dachshunds,1550,3.50,Toys,Independent Designer,Moji-Moji Design,English,1,13,Beginner
Hamster,1551,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Advanced
"Table Mats, Coasters, Runner, Seat Pads & Table Cloths in King Cole Giza 4Ply - 5071 - Downloadable PDF",1552,2.99,Table Setting,King Cole,,English,6,4,Intermediate
Mystical Marrakech Cardigan,1553,4.07,Cardigans,Independent Designer,Crojennifer,English,1,7,Beginner
Teardrop Hanging Basket,1554,2.50,Homeware,Independent Designer,The Left Hookery,English,1,3,Beginner
Quick & Easy Blanket in Bernat Chunky - Downloadable PDF,1555,0.00,Blankets,Bernat,,English,1,1,Beginner
Alien Invasion Crochet Beanie,1556,2.95,Accessories,Independent Designer,Knit and Crochet Ever After,English,1,17,Intermediate
The Gruffalo's Child toy,1557,4.66,Toys,Independent Designer,Olga Piliponis,English,1,,Intermediate
Kailua Cardigan in Berroco Chai - Downloadable PDF,1558,0.00,Cardigans,Berroco,Alison Green,English,1,8,Intermediate
Where Sky Meets Sea,1559,2.96,Accessories,Independent Designer,CJ Brady Designs,English,1,,Beginner
The White Baby Dress SET,1560,3.70,The White Baby Dress SET,Independent Designer,Soukaina,English|French,1,14,Beginner
My Way Blanket,1561,3.50,Homeware,Independent Designer,Alla Bella,English,1,27,Intermediate
C2C Bobble Blanket,1562,2.95,Homeware,Independent Designer,Maria's Blue Crayon,English,1,,Intermediate
"Mushroom snuggler crochet pattern, low-sew lovey toadstool PDF tutorial",1563,3.70,Toys,Independent Designer,LoveyCrochetPatterns,English,1,,Intermediate
Cardigans in King Cole Merino Blend DK - 5943PDF - Downloadable PDF,1564,2.99,Cardigans,King Cole,King Cole,English,2,6,Beginner
Beginner Crochet Poncho Wrap Pattern,1565,3.33,Ponchos,Independent Designer,Patternprincess,English,1,7,Beginner
Red Hook Afternoon Shoulder Bag,1566,3.33,Accessories,Independent Designer,Two of Wands,English,1,3,Beginner
Stanley the Strawberry,1567,0.00,Toys,Independent Designer,Samantha Schreyer,English,1,2,Beginner
Club Penguin Crochet Amigurumi,1568,2.22,Amigurumi,Independent Designer,Luna Patterns,English,1,,Beginner
The Meadow Sundress,1569,3.33,Dresses,Independent Designer,PlaceOfPatterns,English,1,17,Intermediate
Pumpkin beanie hat,1570,3.00,Hats,Independent Designer,Little Fig,English,1,3,Beginner
Happy Stitches,1571,2.96,Accessories,Independent Designer,CJ Brady Designs,English,1,4,Beginner
Berry Bliss Cardigan,1572,3.70,Cardigans,Independent Designer,Kristine Mullen,English,1,,Beginner
The Shining,1573,3.05,Homeware,Independent Designer,Kraftling,English,1,,Intermediate
Golden Hour Wrap Top,1574,3.50,Tops,Independent Designer,Manatee_Squares,English,1,16,Intermediate
Crochet Baby Bear Hat Pattern,1575,2.00,Accessories,Independent Designer,Selina Veronique Crochet,English,1,,Beginner
Gingham Blanket in Bernat Baby Coordinates Solids,1576,0.00,Blankets,Bernat,,English,1,,
Sheep Tea Cosy,1577,5.00,Homeware,Independent Designer,Helen Ingram,English,1,8,Beginner
Tulip Stitch Flower Garden Vest,1578,8.50,Waistcoats,Independent Designer,Realm Designs,English,1,,Intermediate
Le poisson steve crochet pattern,1579,2.00,Toys,Independent Designer,Chloe elizabeth Birch,English,1,2,Beginner
Baby Girl Hat and Cardigan,1580,1.09,Cardigans,Independent Designer,TatjanaBoutique,English,1,7,Intermediate
Little Reindeer Jumper,1581,4.99,Jumpers,Independent Designer,BabyCrochetDesigns,English,1,41,Intermediate
Candy Cane Baby Hat,1582,1.47,Baby Hats,Independent Designer,Wonderful Woodlands,English,1,,Advanced
Crochet cat keychain. Amigurumi keyring. Animal bag charm. Kitten pendant,1583,2.80,Accessories,Independent Designer,Angelika Liusinska,English,1,9,Beginner
Crochet bag: The Aneni bag pattern,1584,2.96,Accessories,Independent Designer,Mirrymas,English,1,8,Intermediate
Animal bundle,1585,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Brady - Babies 4ply rib beanie,1586,2.59,Hats,Independent Designer,Jennifer Lee,English,1,3,Beginner
Hat of a cat,1587,0.00,Hats,Independent Designer,Lotien,English,1,,Intermediate
Kima Cardi,1588,5.55,Cardigans,Independent Designer,TL Yarn Crafts,English,1,7,Beginner
Elloth Granny Square,1589,0.00,Elloth Granny Square,Independent Designer,K.A.M.E. Crochet,English,1,9,Intermediate
Sea Life Mosaic,1590,7.33,Homeware,Independent Designer,AnaMoraisSoares,English,1,66,Intermediate
Fox Hat in Caron Simply Soft - Downloadable PDF,1591,0.00,Hats,Caron,,English,1,2,Beginner
Magic Wind Spinner,1592,3.45,Homeware,Independent Designer,Leonela Cevallos,English,1,,Beginner
Spring Breeze Scarf,1593,3.10,Accessories,Independent Designer,RaffamusaDesigns,English,1,,Intermediate
Family Guy Brian Griffin,1594,2.00,Toys,Independent Designer,Teenie Crochets,English,1,,Intermediate
Duke the Dog,1595,3.70,Toys,Independent Designer,Wendi Gratz,English,1,15,Intermediate
Aery Faery,1596,3.65,Accessories,Independent Designer,Vashti Braha,English,1,,
Rusty dog and bone toy amigurumi pattern,1597,3.50,Toys,Independent Designer,Liz Ward,English,1,6,Intermediate
Amigurumi Doll,1598,4.07,Toys,Independent Designer,,English,1,,Beginner
Continuous Granny Square Shrug,1599,0.00,Cardigans,Independent Designer,Michelle Greenberg,English,1,6,Beginner
Crochet Angeline Vintage Shawl/Wrap Pattern,1600,3.50,Accessories,Independent Designer,Selina Veronique Crochet,English,1,5,Beginner
Crochet Angeline Vintage Shawl/Wrap Pattern,1601,3.50,Accessories,Independent Designer,Selina Veronique Crochet,English,1,5,Beginner
The Jasara TableRunner,1602,2.78,Homeware,Independent Designer,JustOneHookDesigns,English,1,3,Intermediate
Aran Hearts Throw in Red Heart Soft - LW2947EN - Downloadable PDF,1603,0.00,Blankets,Red Heart,Bonnie Barker,English,1,2,Intermediate
Button up cardigan pattern,1604,3.70,Cardigans,Independent Designer,KnitcroAddict,English,1,6,Beginner
Noah's Ark Crochet Pattern,1605,5.70,Toys,Independent Designer,Kristine Kuluka,English,1,54,Intermediate
Elba Top in Adriafil Uno A Ritorto 5 - Downloadable PDF,1606,0.00,Tops,Adriafil,,English,1,1,
Top Coraline,1607,5.17,Tops,Independent Designer,Elo Courtat,English,1,,Intermediate
Dinosaur comforter. Dragon snuggler. Cute Amigurumi. Crochet. PDF.,1608,3.70,Amigurumi,Independent Designer,LoveyCrochetPatterns,English|French|German,1,9,Beginner
Carnival Polka Wristers,1609,0.61,Accessories,Independent Designer,SICK 'LIL MONKEYS,English,1,,Beginner
Elephant Crochet Pattern,1610,2.22,Toys,Independent Designer,Amy Gaines,English,1,4,Beginner
Cuppa Chaai / Kofee Coasters,1611,0.00,Homeware,Independent Designer,Prakruti's Crochet Villa,English,1,4,Beginner
Sunflower bucket hat,1612,4.07,Accessories,Independent Designer,Crochetlovemelbourne,English,1,,Beginner
Japanese Knot Bag in Universal Yarn Yashi - Downloadable PDF,1613,0.00,Japanese Knot Bag in Universal Yarn Yashi - Downloadable PDF,Universal Yarn,Rick Mondragon,English,1,2,Beginner
Sleeping Beauty Princess Aurora Dress Set,1614,4.50,Dresses,Independent Designer,You Crochet,English,1,,Intermediate
DayDream Cardigan,1615,3.70,Cardigans,Independent Designer,by.Daisy.Dots,English,1,20,Beginner
"Amigurumi pattern doll Astrid in Cheerleader outfit, Basic crochet doll pattern (English, Deutsch, Français)",1616,7.62,Toys,Independent Designer,CrochetPatternWorld,English|French|German,1,114,Advanced
Cabot Trail Cardigan,1617,4.81,Cardigans,Independent Designer,MJsOffTheHook,English,1,,Intermediate
Idlewild Dress - women's + children's sizes,1618,5.55,Dresses,Independent Designer,Jess Coppom Make & Do Crew,English,1,46,Intermediate
Sea Breeze Tank Top,1619,2.74,Tops,Independent Designer,For The Frills | Grace,English,1,,Beginner
Merilyn Bag,1620,3.45,Accessories,Independent Designer,isWoolish,English,1,,Beginner
Hot Pink Sundae Bonnet and Shoes 0-6mths,1621,2.25,Hats,Independent Designer,Precious Little Bundles,English,1,5,Intermediate
Granny Dress,1622,4.14,Dresses,Independent Designer,Mon Petit Violon,English,1,6,Intermediate
813-Long Or Short Vest,1623,3.47,Waistcoats,Independent Designer,Emi Harrington,English,1,,
Clyde the Chameleon Amigurumi,1624,0.00,Toys,Independent Designer,Critter-iffic Crochet,English,1,,Intermediate
Tabard In Sirdar Jewelspun Aran - 10728P - Downloadable PDF,1625,3.95,Waistcoats,Sirdar,,English,1,8,Beginner
Strawberry Basket,1626,0.00,Accessories,Independent Designer,Crossmanknits,English,1,9,Beginner
Lacy summer top,1627,3.70,Tops,Independent Designer,KnitcroAddict,English,1,10,Beginner
Amigurumi Penis plush,1628,3.33,Amigurumi,Independent Designer,Vitastoys,English,1,15,Beginner
Abrazo Rayado Cocoon,1629,3.70,Cardigans,Independent Designer,Creations By Courtney,English,1,4,Intermediate
"Tunisian Crochet Sweater ""Maximum""",1630,3.45,Sweaters,Independent Designer,Haekelgold,English|German,1,12,Intermediate
Latticework Cardigan Tutorial,1631,3.70,Sweaters,Independent Designer,MADuNaier,English,1,29,Intermediate
Classic Granny Square Sweater and Tee,1632,5.00,Jumpers,Independent Designer,Craft and a Cuppa,English,1,15,Beginner
All Squared Away Dog Coat,1633,2.56,All Squared Away Dog Coat,Independent Designer,Fozybear's Cottage Crochet,English,1,,Intermediate
Rainforest Retreat,1634,3.50,Accessories,Independent Designer,Lisa Cook,English,1,11,Intermediate
Magnolia Bag,1635,3.02,Accessories,Independent Designer,isWoolish,English,1,,Beginner
Crochet Market Bag,1636,0.82,Accessories,Independent Designer,Oksik,English,1,3,Beginner
Table Runner N 131,1637,3.70,Homeware,Independent Designer,Turquoise Pattern,English,1,,Intermediate
Cutie Pie Flower,1638,0.00,Cutie Pie Flower,Independent Designer,Queen Babs,English,1,3,Beginner
